Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy,GDP Per Capita,Literacy Rate,Life expectancy
"Micronesia, Fed. Sts.",Oceania,Micronesia,Micronesia,463133500,35.30405287,18000,69.596,66.232,0.177,115021,0,20.96681976,23.84087944,270,0,4026.51255,22.4038496,67.914
Moldova,Europe,Eastern Europe,Eastern Europe,12386780905,76.12451989,174000,76.157,67.624,3.2066,2617820,24.75247525,45.18466187,33.52642059,13180,0,4731.716048,39.35554123,71.8905
Monaco,Europe,Western Europe,Western Europe,,97.05297684,363000,,,7.5067,39244,33.33333333,,,,0,0,0,0
Mongolia,Asia,Eastern Asia,Eastern Asia,11870689059,51.07999408,637000,74.142,65.799,2.8592,3278292,17.33333333,76.65812683,54.68325043,52620,0,3620.998087,65.67068863,69.9705
Montenegro,Europe,Southern Europe,Southern Europe,4848798063,73.47666575,2510000,79.303,74.441,2.7557,621718,22.22222222,62.40800095,46.58414078,3800,0,7799.031173,54.49607086,76.872
Morocco,Africa,0rthern Africa,0rthern Africa,1.11167E+11,74.37631447,13109000,77.895,75.423,0.7308,36910558,20.50632911,39.05136108,38.06085968,94290,0,3011.799725,38.55611038,76.659
Mozambique,Africa,Sub-Saharan Africa,Eastern Africa,13558723676,20.7740003,2033000,63.671,57.782,0.0838,31255435,42.4,6.533639908,8.108229637,35040,0,433.8037105,7.320934772,60.7265
Myanmar,Asia,South-eastern Asia,South-eastern Asia,73922116986,23.62108195,4364000,70.119,64.046,0.677,54409794,16.82539683,21.98386955,15.63253021,119650,0,1358.617843,18.80819988,67.0825
Namibia,Africa,Sub-Saharan Africa,Southern Africa,10518846493,36.83740647,1651000,66.516,60.685,0.4182,2540916,43.26923077,30.2642498,15.31023026,11930,0,4139.785217,22.78724003,63.6005
Nauru,Oceania,Micronesia,Micronesia,174152481.8,62.38512451,,,,1.3462,10834,10.52631579,,,80,1,16074.62449,0,0
Nepal,Asia,Southern Asia,Southern Asia,34053537649,21.40351043,1197000,72.208,69.259,0.7486,29136808,32.72727273,13.68988037,12.94217968,51240,0,1168.746338,13.31603003,70.7335
Netherlands,Europe,Western Europe,Western Europe,9.106E+11,93.2885906,20129000,83.6,80.5,3.6054,17441139,33.33333333,92.85855103,81.59803772,178640,1,52209.86986,87.22829437,82.05
